Date,technology_sentiment,technology_confidence,technology_count,financial_sentiment,financial_confidence,financial_count,consumer_cyclical_sentiment,consumer_cyclical_confidence,consumer_cyclical_count,healthcare_sentiment,healthcare_confidence,healthcare_count,industrials_sentiment,industrials_confidence,industrials_count
2018-08-27,0.0,0.2145604156284344,5,0.0,0.0,0,0.5083015561103821,0.1941869788772532,1,-0.4888218343257904,0.1869868329314821,1,0.0,0.0,0
2018-09-03,0.204288139034876,0.2336914788136634,3,-0.2894459001793236,0.1147273133455684,3,0.0,0.0,0,-0.5665619955942267,0.1983226480605635,2,0.0,0.0,0
2018-09-10,0.0,0.2505440330953745,4,-0.6959515810012816,0.2266818314804908,1,0.0,0.158698778217925,1,-0.1048530048336499,0.2615639337507303,4,0.0,0.2713348741509325,1
2018-09-17,0.0,0.2334309528118479,11,0.0,0.2548735191725058,1,0.0,0.2729248984647618,1,-0.0624227741357383,0.1675789103752841,7,0.0,0.0,0
2018-09-24,-0.0805765119859267,0.1896399056044682,8,0.0,0.1763784411080555,2,0.0,0.2362005960421243,1,-0.1262066692484024,0.1771645429109241,5,0.0,0.0,0
2018-10-01,0.0,0.2580253332993176,8,0.0,0.1374487502731032,1,0.0,0.3001816454395154,1,-0.1468695316569874,0.1694580258999792,5,0.0,0.0,0
2018-10-08,0.0,0.2474762244858693,9,0.0,0.3529917842905057,1,0.0,0.0,0,0.0,0.2291669221497046,3,0.0,0.0,0
2018-10-15,-0.0296114881695373,0.1890405790858608,14,0.0,0.2673313575743847,1,0.0,0.2267898735696141,2,0.0,0.1865355648504743,3,0.0,0.1523188938140407,1
2018-10-22,0.0,0.1959341449638161,14,0.0,0.0,0,0.0,0.0,0,-0.142799183162235,0.2030236827216433,3,0.0,0.0,0
2018-10-29,0.0,0.2189429700083879,20,-0.5296538472175598,0.1634281042015786,1,0.0,0.1480889949076935,1,0.0,0.111320588821016,1,0.0,0.0,0
2018-11-05,0.0545883994742873,0.2319760454446695,14,0.0,0.3055953581729298,2,0.0,0.0,0,-0.139291062853461,0.2487834716408627,4,0.0,0.0,0
2018-11-12,0.0,0.2340875751416575,14,-0.6688358783721924,0.2124267877072867,1,0.0,0.2384128970578984,1,-0.2859696984211786,0.2020079497629005,5,0.0,0.2677100309244338,1
2018-11-19,0.0,0.226408663844526,17,-0.780351459980011,0.2557595145296076,1,0.0,0.0958311456407026,1,0.0,0.242583516889498,4,0.0,0.0,0
2018-11-26,0.0363081594610945,0.246207654549405,13,0.0,0.0,0,0.0,0.3711124399513608,1,-0.0110797796108166,0.2079566269038048,11,0.0,0.2395569787416036,1
